date,team,group,champion,runnerUp,reachFinal,reachSemi,escapeGroup
2026-06-21,QAT,B,0.0000,0.0001,0.0001,0.0011,0.3160
2026-06-21,RSA,A,0.0000,0.0001,0.0002,0.0011,0.1639
2026-06-21,SCO,C,0.0011,0.0031,0.0043,0.0169,0.7880
2026-06-21,SEN,I,0.0054,0.0106,0.0160,0.0474,0.6613
2026-06-21,SUI,B,0.0136,0.0251,0.0388,0.0951,1.0000
2026-06-21,SWE,F,0.0013,0.0041,0.0054,0.0213,0.8809
2026-06-21,TUN,F,0.0000,0.0002,0.0002,0.0013,0.0911
2026-06-21,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-21,URU,H,0.0134,0.0237,0.0371,0.0857,0.8135
2026-06-21,USA,D,0.0098,0.0261,0.0359,0.1025,1.0000
2026-06-21,UZB,K,0.0006,0.0021,0.0027,0.0112,0.4147
2026-06-22,ALG,J,0.0048,0.0105,0.0154,0.0417,0.6291
2026-06-22,ARG,J,0.2193,0.1125,0.3318,0.4858,0.9976
2026-06-22,AUS,D,0.0047,0.0097,0.0144,0.0427,0.9535
2026-06-22,AUT,J,0.0080,0.0189,0.0268,0.0723,0.9474
2026-06-22,BEL,G,0.0239,0.0334,0.0573,0.1222,0.8918
2026-06-22,BIH,B,0.0001,0.0003,0.0004,0.0028,0.4278
2026-06-22,BRA,C,0.0823,0.0649,0.1472,0.2747,1.0000
2026-06-22,CAN,B,0.0056,0.0143,0.0200,0.0571,1.0000
2026-06-22,CIV,E,0.0020,0.0054,0.0074,0.0313,0.9518
2026-06-22,COD,K,0.0001,0.0008,0.0010,0.0052,0.4028
2026-06-22,COL,K,0.0680,0.0647,0.1328,0.2417,0.9927
2026-06-22,CPV,H,0.0000,0.0003,0.0003,0.0024,0.6027
2026-06-22,CRO,L,0.0117,0.0205,0.0322,0.0771,0.8265
2026-06-22,CUW,E,0.0000,0.0000,0.0000,0.0001,0.1237
2026-06-22,CZE,A,0.0004,0.0019,0.0023,0.0087,0.2322
2026-06-22,ECU,E,0.0043,0.0068,0.0111,0.0286,0.3068
2026-06-22,EGY,G,0.0027,0.0084,0.0111,0.0393,1.0000
2026-06-22,ENG,L,0.0649,0.0594,0.1243,0.2543,0.9952
2026-06-22,ESP,H,0.1512,0.1029,0.2541,0.3879,1.0000
2026-06-22,FRA,I,0.1009,0.0852,0.1862,0.3232,0.9944
2026-06-22,GER,E,0.0422,0.0543,0.0965,0.1961,1.0000
2026-06-22,GHA,L,0.0000,0.0004,0.0004,0.0028,0.6666
2026-06-22,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-22,IRN,G,0.0080,0.0159,0.0239,0.0621,0.7558
2026-06-22,IRQ,I,0.0001,0.0001,0.0002,0.0013,0.1259
2026-06-22,JOR,J,0.0001,0.0004,0.0005,0.0018,0.1278
2026-06-22,JPN,F,0.0258,0.0350,0.0608,0.1376,1.0000
2026-06-22,KOR,A,0.0060,0.0148,0.0208,0.0594,0.9482
2026-06-22,KSA,H,0.0000,0.0004,0.0004,0.0026,0.4068
2026-06-22,MAR,C,0.0203,0.0341,0.0544,0.1262,1.0000
2026-06-22,MEX,A,0.0167,0.0252,0.0418,0.1190,1.0000
2026-06-22,NED,F,0.0345,0.0437,0.0783,0.1662,1.0000
2026-06-22,NOR,I,0.0094,0.0196,0.0290,0.0846,0.9771
2026-06-22,NZL,G,0.0000,0.0001,0.0001,0.0009,0.1099
2026-06-22,PAN,L,0.0003,0.0008,0.0010,0.0040,0.2026
2026-06-22,PAR,D,0.0019,0.0059,0.0078,0.0267,0.8269
2026-06-22,POR,K,0.0416,0.0469,0.0885,0.1716,0.8380
2026-06-22,QAT,B,0.0000,0.0002,0.0002,0.0014,0.3163
2026-06-22,RSA,A,0.0000,0.0001,0.0002,0.0011,0.1662
2026-06-22,SCO,C,0.0010,0.0033,0.0043,0.0180,0.8126
2026-06-22,SEN,I,0.0048,0.0109,0.0157,0.0479,0.6672
2026-06-22,SUI,B,0.0131,0.0237,0.0368,0.0920,1.0000
2026-06-22,SWE,F,0.0011,0.0036,0.0046,0.0189,0.9262
2026-06-22,TUN,F,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-22,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-22,URU,H,0.0075,0.0132,0.0207,0.0500,0.4279
2026-06-22,USA,D,0.0100,0.0244,0.0344,0.0987,1.0000
2026-06-22,UZB,K,0.0006,0.0019,0.0025,0.0102,0.4219
2026-06-23,ALG,J,0.0067,0.0154,0.0221,0.0590,0.8538
2026-06-23,ARG,J,0.2349,0.1190,0.3539,0.5139,1.0000
2026-06-23,AUS,D,0.0038,0.0088,0.0126,0.0375,0.9554
2026-06-23,AUT,J,0.0067,0.0152,0.0220,0.0602,0.9556
2026-06-23,BEL,G,0.0222,0.0309,0.0531,0.1142,0.8941
2026-06-23,BIH,B,0.0001,0.0004,0.0004,0.0031,0.4304
2026-06-23,BRA,C,0.0808,0.0626,0.1434,0.2744,1.0000
2026-06-23,CAN,B,0.0053,0.0129,0.0182,0.0533,1.0000
2026-06-23,CIV,E,0.0020,0.0051,0.0070,0.0306,0.9520
2026-06-23,COD,K,0.0002,0.0006,0.0008,0.0048,0.4034
2026-06-23,COL,K,0.0654,0.0633,0.1287,0.2317,0.9926
2026-06-23,CPV,H,0.0000,0.0002,0.0002,0.0020,0.6027
2026-06-23,CRO,L,0.0112,0.0212,0.0325,0.0780,0.8264
2026-06-23,CUW,E,0.0000,0.0000,0.0000,0.0002,0.1256
2026-06-23,CZE,A,0.0005,0.0018,0.0023,0.0091,0.2325
2026-06-23,ECU,E,0.0036,0.0072,0.0108,0.0295,0.3063
2026-06-23,EGY,G,0.0023,0.0077,0.0099,0.0367,1.0000
2026-06-23,ENG,L,0.0606,0.0565,0.1170,0.2537,0.9956
2026-06-23,ESP,H,0.1532,0.1089,0.2622,0.4040,1.0000
2026-06-23,FRA,I,0.1050,0.0907,0.1957,0.3336,1.0000
2026-06-23,GER,E,0.0422,0.0546,0.0968,0.1927,1.0000
2026-06-23,GHA,L,0.0000,0.0004,0.0004,0.0030,0.6651
2026-06-23,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-23,IRN,G,0.0070,0.0147,0.0217,0.0578,0.7561
2026-06-23,IRQ,I,0.0000,0.0001,0.0002,0.0009,0.0872
2026-06-23,JOR,J,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-23,JPN,F,0.0250,0.0352,0.0602,0.1357,1.0000
2026-06-23,KOR,A,0.0055,0.0147,0.0203,0.0591,0.9501
2026-06-23,KSA,H,0.0000,0.0003,0.0003,0.0021,0.4068
2026-06-23,MAR,C,0.0198,0.0327,0.0525,0.1229,1.0000
2026-06-23,MEX,A,0.0164,0.0251,0.0415,0.1202,1.0000
2026-06-23,NED,F,0.0318,0.0418,0.0736,0.1603,1.0000
2026-06-23,NOR,I,0.0111,0.0205,0.0316,0.0957,1.0000
2026-06-23,NZL,G,0.0000,0.0001,0.0001,0.0006,0.1073
2026-06-23,PAN,L,0.0003,0.0008,0.0012,0.0045,0.2051
2026-06-23,PAR,D,0.0019,0.0059,0.0077,0.0245,0.8363
2026-06-23,POR,K,0.0403,0.0471,0.0874,0.1703,0.8386
2026-06-23,QAT,B,0.0000,0.0001,0.0001,0.0011,0.3160
2026-06-23,RSA,A,0.0000,0.0001,0.0001,0.0009,0.1649
2026-06-23,SCO,C,0.0007,0.0028,0.0035,0.0167,0.8183
2026-06-23,SEN,I,0.0031,0.0069,0.0100,0.0328,0.5439
2026-06-23,SUI,B,0.0117,0.0225,0.0341,0.0853,1.0000
2026-06-23,SWE,F,0.0009,0.0039,0.0048,0.0198,0.9314
2026-06-23,TUN,F,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-23,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-23,URU,H,0.0075,0.0129,0.0203,0.0496,0.4225
2026-06-23,USA,D,0.0093,0.0267,0.0360,0.1032,1.0000
2026-06-23,UZB,K,0.0006,0.0019,0.0025,0.0113,0.4241
2026-06-24,ALG,J,0.0057,0.0139,0.0197,0.0527,0.8492
2026-06-24,ARG,J,0.2329,0.1191,0.3521,0.5056,1.0000
2026-06-24,AUS,D,0.0038,0.0078,0.0117,0.0353,0.9485
2026-06-24,AUT,J,0.0059,0.0140,0.0199,0.0532,0.9455
2026-06-24,BEL,G,0.0211,0.0296,0.0507,0.1071,0.8914
2026-06-24,BIH,B,0.0001,0.0003,0.0004,0.0027,0.4265
2026-06-24,BRA,C,0.0818,0.0649,0.1467,0.2838,1.0000
2026-06-24,CAN,B,0.0052,0.0125,0.0177,0.0524,1.0000
2026-06-24,CIV,E,0.0024,0.0059,0.0083,0.0336,0.9504
2026-06-24,COD,K,0.0001,0.0004,0.0005,0.0033,0.3246
2026-06-24,COL,K,0.0705,0.0670,0.1375,0.2444,1.0000
2026-06-24,CPV,H,0.0001,0.0003,0.0003,0.0022,0.5980
2026-06-24,CRO,L,0.0134,0.0225,0.0360,0.0905,0.9806
2026-06-24,CUW,E,0.0000,0.0000,0.0000,0.0001,0.1241
2026-06-24,CZE,A,0.0004,0.0016,0.0020,0.0080,0.2277
2026-06-24,ECU,E,0.0044,0.0072,0.0116,0.0312,0.3010
2026-06-24,EGY,G,0.0019,0.0071,0.0090,0.0350,1.0000
2026-06-24,ENG,L,0.0540,0.0554,0.1094,0.2361,1.0000
2026-06-24,ESP,H,0.1424,0.1012,0.2436,0.3742,1.0000
2026-06-24,FRA,I,0.1047,0.0889,0.1936,0.3354,1.0000
2026-06-24,GER,E,0.0405,0.0533,0.0938,0.1908,1.0000
2026-06-24,GHA,L,0.0000,0.0004,0.0004,0.0038,0.9998
2026-06-24,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-24,IRN,G,0.0072,0.0152,0.0225,0.0560,0.7496
2026-06-24,IRQ,I,0.0000,0.0001,0.0001,0.0009,0.0869
2026-06-24,JOR,J,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-24,JPN,F,0.0257,0.0340,0.0597,0.1386,1.0000
2026-06-24,KOR,A,0.0054,0.0143,0.0197,0.0576,0.9472
2026-06-24,KSA,H,0.0001,0.0003,0.0004,0.0022,0.4085
2026-06-24,MAR,C,0.0197,0.0322,0.0519,0.1253,1.0000
2026-06-24,MEX,A,0.0170,0.0273,0.0443,0.1300,1.0000
2026-06-24,NED,F,0.0335,0.0425,0.0759,0.1644,1.0000
2026-06-24,NOR,I,0.0109,0.0218,0.0327,0.1016,1.0000
2026-06-24,NZL,G,0.0000,0.0001,0.0001,0.0005,0.1094
2026-06-24,PAN,L,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-24,PAR,D,0.0018,0.0058,0.0076,0.0238,0.8344
2026-06-24,POR,K,0.0545,0.0614,0.1159,0.2144,1.0000
2026-06-24,QAT,B,0.0000,0.0001,0.0001,0.0011,0.3177
2026-06-24,RSA,A,0.0000,0.0001,0.0002,0.0011,0.1655
2026-06-24,SCO,C,0.0008,0.0029,0.0036,0.0180,0.8066
2026-06-24,SEN,I,0.0032,0.0069,0.0101,0.0337,0.5313
2026-06-24,SUI,B,0.0119,0.0219,0.0338,0.0850,1.0000
2026-06-24,SWE,F,0.0010,0.0035,0.0045,0.0184,0.9246
2026-06-24,TUN,F,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-24,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-24,URU,H,0.0070,0.0122,0.0192,0.0465,0.4127
2026-06-24,USA,D,0.0088,0.0237,0.0325,0.0965,1.0000
2026-06-24,UZB,K,0.0001,0.0004,0.0005,0.0031,0.1384
2026-06-25,ALG,J,0.0044,0.0097,0.0141,0.0407,0.7919
2026-06-25,ARG,J,0.2297,0.1172,0.3469,0.5043,1.0000
2026-06-25,AUS,D,0.0033,0.0086,0.0119,0.0366,0.9405
2026-06-25,AUT,J,0.0054,0.0115,0.0169,0.0473,0.9419
2026-06-25,BEL,G,0.0219,0.0303,0.0522,0.1103,0.8917
2026-06-25,BIH,B,0.0002,0.0010,0.0012,0.0066,1.0000
2026-06-25,BRA,C,0.0852,0.0628,0.1481,0.2913,1.0000
2026-06-25,CAN,B,0.0072,0.0201,0.0272,0.0820,1.0000
2026-06-25,CIV,E,0.0016,0.0046,0.0062,0.0292,0.9480
2026-06-25,COD,K,0.0001,0.0003,0.0004,0.0027,0.3043
2026-06-25,COL,K,0.0677,0.0642,0.1319,0.2384,1.0000
2026-06-25,CPV,H,0.0000,0.0002,0.0002,0.0015,0.5936
2026-06-25,CRO,L,0.0134,0.0226,0.0361,0.0888,0.9752
2026-06-25,CUW,E,0.0000,0.0000,0.0000,0.0001,0.1260
2026-06-25,CZE,A,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,ECU,E,0.0032,0.0050,0.0082,0.0254,0.2947
2026-06-25,EGY,G,0.0021,0.0073,0.0095,0.0346,1.0000
2026-06-25,ENG,L,0.0530,0.0533,0.1064,0.2255,1.0000
2026-06-25,ESP,H,0.1419,0.1010,0.2429,0.3711,1.0000
2026-06-25,FRA,I,0.1048,0.0902,0.1950,0.3370,1.0000
2026-06-25,GER,E,0.0410,0.0566,0.0976,0.1981,1.0000
2026-06-25,GHA,L,0.0001,0.0004,0.0005,0.0035,1.0000
2026-06-25,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,IRN,G,0.0066,0.0137,0.0202,0.0535,0.7293
2026-06-25,IRQ,I,0.0000,0.0000,0.0000,0.0002,0.0334
2026-06-25,JOR,J,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,JPN,F,0.0255,0.0358,0.0613,0.1409,1.0000
2026-06-25,KOR,A,0.0063,0.0180,0.0243,0.0700,0.9347
2026-06-25,KSA,H,0.0000,0.0002,0.0003,0.0016,0.4066
2026-06-25,MAR,C,0.0245,0.0409,0.0654,0.1444,1.0000
2026-06-25,MEX,A,0.0188,0.0277,0.0465,0.1301,1.0000
2026-06-25,NED,F,0.0341,0.0452,0.0793,0.1686,1.0000
2026-06-25,NOR,I,0.0106,0.0201,0.0307,0.0956,1.0000
2026-06-25,NZL,G,0.0000,0.0001,0.0001,0.0006,0.1081
2026-06-25,PAN,L,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,PAR,D,0.0019,0.0051,0.0069,0.0222,0.7685
2026-06-25,POR,K,0.0548,0.0611,0.1159,0.2149,1.0000
2026-06-25,QAT,B,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,RSA,A,0.0002,0.0013,0.0015,0.0084,1.0000
2026-06-25,SCO,C,0.0002,0.0010,0.0012,0.0068,0.3492
2026-06-25,SEN,I,0.0027,0.0059,0.0086,0.0287,0.5295
2026-06-25,SUI,B,0.0117,0.0179,0.0296,0.0740,1.0000
2026-06-25,SWE,F,0.0009,0.0035,0.0044,0.0188,0.9012
2026-06-25,TUN,F,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-25,URU,H,0.0056,0.0103,0.0158,0.0411,0.3900
2026-06-25,USA,D,0.0094,0.0255,0.0348,0.1036,1.0000
2026-06-25,UZB,K,0.0000,0.0001,0.0001,0.0009,0.0417
2026-06-26,ALG,J,0.0044,0.0100,0.0144,0.0407,0.6970
2026-06-26,ARG,J,0.2284,0.1158,0.3442,0.5025,1.0000
2026-06-26,AUS,D,0.0037,0.0075,0.0112,0.0331,1.0000
2026-06-26,AUT,J,0.0047,0.0112,0.0158,0.0451,0.8404
2026-06-26,BEL,G,0.0214,0.0288,0.0502,0.1072,0.8842
2026-06-26,BIH,B,0.0001,0.0011,0.0012,0.0070,1.0000
2026-06-26,BRA,C,0.0849,0.0631,0.1480,0.2894,1.0000
2026-06-26,CAN,B,0.0067,0.0194,0.0261,0.0807,1.0000
2026-06-26,CIV,E,0.0017,0.0051,0.0068,0.0309,1.0000
2026-06-26,COD,K,0.0000,0.0003,0.0003,0.0026,0.3004
2026-06-26,COL,K,0.0672,0.0655,0.1327,0.2377,1.0000
2026-06-26,CPV,H,0.0000,0.0002,0.0002,0.0015,0.5856
2026-06-26,CRO,L,0.0117,0.0207,0.0324,0.0825,0.9358
2026-06-26,CUW,E,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,CZE,A,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,ECU,E,0.0143,0.0206,0.0349,0.0991,1.0000
2026-06-26,EGY,G,0.0022,0.0077,0.0099,0.0344,1.0000
2026-06-26,ENG,L,0.0500,0.0503,0.1002,0.2128,1.0000
2026-06-26,ESP,H,0.1445,0.1028,0.2473,0.3791,1.0000
2026-06-26,FRA,I,0.1089,0.0954,0.2043,0.3519,1.0000
2026-06-26,GER,E,0.0350,0.0527,0.0877,0.1844,1.0000
2026-06-26,GHA,L,0.0000,0.0004,0.0004,0.0031,0.9991
2026-06-26,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,IRN,G,0.0061,0.0138,0.0199,0.0524,0.7186
2026-06-26,IRQ,I,0.0000,0.0000,0.0000,0.0001,0.0078
2026-06-26,JOR,J,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,JPN,F,0.0193,0.0236,0.0429,0.1125,1.0000
2026-06-26,KOR,A,0.0045,0.0125,0.0169,0.0492,0.6440
2026-06-26,KSA,H,0.0001,0.0003,0.0005,0.0020,0.4071
2026-06-26,MAR,C,0.0231,0.0386,0.0617,0.1384,1.0000
2026-06-26,MEX,A,0.0164,0.0226,0.0390,0.1099,1.0000
2026-06-26,NED,F,0.0440,0.0591,0.1031,0.2068,1.0000
2026-06-26,NOR,I,0.0109,0.0194,0.0303,0.0931,1.0000
2026-06-26,NZL,G,0.0000,0.0001,0.0001,0.0004,0.1100
2026-06-26,PAN,L,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,PAR,D,0.0027,0.0080,0.0106,0.0354,0.9988
2026-06-26,POR,K,0.0544,0.0623,0.1167,0.2153,1.0000
2026-06-26,QAT,B,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,RSA,A,0.0003,0.0012,0.0014,0.0080,1.0000
2026-06-26,SCO,C,0.0000,0.0003,0.0003,0.0017,0.0902
2026-06-26,SEN,I,0.0016,0.0039,0.0055,0.0198,0.3933
2026-06-26,SUI,B,0.0115,0.0188,0.0303,0.0750,1.0000
2026-06-26,SWE,F,0.0012,0.0039,0.0051,0.0214,1.0000
2026-06-26,TUN,F,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-26,URU,H,0.0060,0.0103,0.0163,0.0404,0.3784
2026-06-26,USA,D,0.0080,0.0229,0.0309,0.0924,1.0000
2026-06-26,UZB,K,0.0000,0.0000,0.0000,0.0001,0.0093
2026-06-27,ALG,J,0.0034,0.0081,0.0115,0.0322,0.6382
2026-06-27,ARG,J,0.2574,0.1389,0.3963,0.5722,1.0000
2026-06-27,AUS,D,0.0047,0.0107,0.0155,0.0430,1.0000
2026-06-27,AUT,J,0.0038,0.0086,0.0124,0.0343,0.7799
2026-06-27,BEL,G,0.0313,0.0489,0.0802,0.1740,1.0000
2026-06-27,BIH,B,0.0001,0.0006,0.0006,0.0053,1.0000
2026-06-27,BRA,C,0.0858,0.0659,0.1518,0.3035,1.0000
2026-06-27,CAN,B,0.0062,0.0168,0.0230,0.0750,1.0000
2026-06-27,CIV,E,0.0020,0.0062,0.0082,0.0360,1.0000
2026-06-27,COD,K,0.0001,0.0003,0.0004,0.0030,0.3024
2026-06-27,COL,K,0.0631,0.0635,0.1265,0.2248,1.0000
2026-06-27,CPV,H,0.0001,0.0003,0.0003,0.0024,1.0000
2026-06-27,CRO,L,0.0104,0.0187,0.0290,0.0760,0.9174
2026-06-27,CUW,E,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,CZE,A,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,ECU,E,0.0148,0.0222,0.0370,0.1080,1.0000
2026-06-27,EGY,G,0.0015,0.0046,0.0061,0.0209,1.0000
2026-06-27,ENG,L,0.0484,0.0505,0.0989,0.2147,1.0000
2026-06-27,ESP,H,0.1397,0.1046,0.2443,0.3795,1.0000
2026-06-27,FRA,I,0.1102,0.1014,0.2115,0.3705,1.0000
2026-06-27,GER,E,0.0313,0.0452,0.0765,0.1681,1.0000
2026-06-27,GHA,L,0.0001,0.0003,0.0004,0.0028,1.0000
2026-06-27,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,IRN,G,0.0059,0.0114,0.0173,0.0453,0.9294
2026-06-27,IRQ,I,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,JOR,J,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,JPN,F,0.0196,0.0254,0.0450,0.1188,1.0000
2026-06-27,KOR,A,0.0020,0.0060,0.0080,0.0237,0.4298
2026-06-27,KSA,H,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,MAR,C,0.0211,0.0338,0.0550,0.1299,1.0000
2026-06-27,MEX,A,0.0146,0.0230,0.0375,0.1074,1.0000
2026-06-27,NED,F,0.0405,0.0542,0.0947,0.1973,1.0000
2026-06-27,NOR,I,0.0082,0.0170,0.0252,0.0844,1.0000
2026-06-27,NZL,G,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,PAN,L,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,PAR,D,0.0026,0.0071,0.0096,0.0325,1.0000
2026-06-27,POR,K,0.0495,0.0565,0.1060,0.1955,1.0000
2026-06-27,QAT,B,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,RSA,A,0.0002,0.0011,0.0013,0.0079,1.0000
2026-06-27,SCO,C,0.0000,0.0000,0.0000,0.0000,0.0011
2026-06-27,SEN,I,0.0044,0.0108,0.0152,0.0515,1.0000
2026-06-27,SUI,B,0.0104,0.0177,0.0281,0.0681,1.0000
2026-06-27,SWE,F,0.0008,0.0033,0.0041,0.0189,1.0000
2026-06-27,TUN,F,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,TUR,D,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,URU,H,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-27,USA,D,0.0059,0.0167,0.0226,0.0729,1.0000
2026-06-27,UZB,K,0.0000,0.0000,0.0000,0.0000,0.0019
2026-06-28,ALG,J,0.0052,0.0112,0.0164,0.0447,1.0000
2026-06-28,ARG,J,0.2515,0.1380,0.3894,0.5679,1.0000
2026-06-28,AUS,D,0.0038,0.0096,0.0134,0.0413,1.0000
2026-06-28,AUT,J,0.0039,0.0094,0.0132,0.0379,1.0000
2026-06-28,BEL,G,0.0323,0.0495,0.0818,0.1754,1.0000
2026-06-28,BIH,B,0.0001,0.0008,0.0009,0.0051,1.0000
2026-06-28,BRA,C,0.0813,0.0654,0.1467,0.2942,1.0000
2026-06-28,CAN,B,0.0058,0.0164,0.0222,0.0734,1.0000
2026-06-28,CIV,E,0.0020,0.0057,0.0078,0.0331,1.0000
2026-06-28,COD,K,0.0003,0.0010,0.0013,0.0086,1.0000
2026-06-28,COL,K,0.0700,0.0676,0.1376,0.2531,1.0000
2026-06-28,CPV,H,0.0001,0.0003,0.0004,0.0023,1.0000
2026-06-28,CRO,L,0.0101,0.0190,0.0291,0.0709,1.0000
2026-06-28,CUW,E,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,CZE,A,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,ECU,E,0.0134,0.0199,0.0333,0.0985,1.0000
2026-06-28,EGY,G,0.0011,0.0043,0.0053,0.0198,1.0000
2026-06-28,ENG,L,0.0596,0.0620,0.1216,0.2771,1.0000
2026-06-28,ESP,H,0.1469,0.1096,0.2566,0.3954,1.0000
2026-06-28,FRA,I,0.1182,0.1059,0.2241,0.3842,1.0000
2026-06-28,GER,E,0.0294,0.0452,0.0745,0.1653,1.0000
2026-06-28,GHA,L,0.0000,0.0002,0.0003,0.0022,1.0000
2026-06-28,HAI,C,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,IRN,G,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,IRQ,I,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,JOR,J,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,JPN,F,0.0181,0.0250,0.0431,0.1158,1.0000
2026-06-28,KOR,A,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,KSA,H,0.0000,0.0000,0.0000,0.0000,0.0000
2026-06-28,MAR,C,0.0211,0.0348,0.0559,0.1299,1.0000
2026-06-28,MEX,A,0.0133,0.0204,0.0337,0.0983,1.0000
